interview_process,interview_questions,experience_outcome,date,processed_timestamp,company,position,application_process
"Tutto bene, un po' noioso. Però alla fine mi hanno offerto uno snack di addio visto che non ho accettato la loro offerta di assunzione in quanto sono troppo nerd",[],"[""Declined offer"", ""Neutral experience"", ""Easy interview""]",3 Jun 2025,2025-06-12T08:12:16.384665,Google,Software Developer,"I applied through other source. The process took 1 day. I interviewed at Google (Palo Alto, CA)"
"Interviewer came late just asked questions and finished, no feedback from HR. It has been 6 months TPS passed no OA scheduled. HR keeps calling every month to tell that you are part of process.","[""Coding question was related to Heap""]","[""No offer"", ""Negative experience"", ""Difficult interview""]",29 May 2025,2025-06-12T08:12:43.711284,Google,Software Engineer,I interviewed at Google (Bengaluru)
after intense 1 month preparation i appeared for TPS and interviewer is from china,"[""Straightway pasted question and asked me to solve""]","[""No offer"", ""Difficult interview"", ""Neutral experience""]",29 May 2025,2025-06-12T08:13:43.113661,Google,Software Engineer,Recruiter reached out from linkedin and gave 1 month for preparation.
It was organized. The interviewer was really open and nice. I felt at ease answering the questions. She was clear in explaining the interview process and what would come in the following interviews.,"[""They asked about what I did in college.""]","[""No offer"", ""Positive experience""]",29 May 2025,2025-06-12T08:14:37.314202,Google,Software Engineer,I interviewed at Google
"Pretty good experience but it was a really long process (took almost 4 months from start to finish). Starts with an online assessment, then four back to back interviews. After that it goes to the HC and the team match.","[""Basically leetcode data structures questions.""]","[""No offer"", ""Positive experience"", ""Average interview""]",22 May 2025,2025-06-12T08:17:27.525111,Google,Software Engineer,I interviewed at Google
"Best interview ever, but i declined because i got a lot of more money and i took another offer that other company gave me, also they had easier interveiw. Overall very good experience.","[""How to reverse binary tree""]","[""Declined offer"", ""Positive experience""]",21 May 2025,2025-06-12T08:18:21.749797,Google,Software Engineer,"I interviewed at Google (Warsaw, Masovia)"
"Coding assessment then four round onsite. Moved to team matching process after passing onsite, matched with second team I talked to after a few days, rejected from first team.",[],"[""Accepted offer"", ""Positive experience"", ""Average interview""]",21 May 2025,2025-06-12T08:19:15.854267,Google,Software Engineer,"I interviewed at Google (Sunnyvale, CA)"
Loads of steps multiple whiteboard interviews as well as behaviour. Took quite a long time due to scheduling. No feedback due to company policy. Can consider those 6h as wasted.,[],"[""No offer"", ""Positive experience"", ""Difficult interview""]",20 May 2025,2025-06-12T08:20:06.083618,Google,Software Engineer,I interviewed at Google
"The Google interview process typically involves multiple stages, including an initial recruiter screening, one or two technical phone interviews, and an onsite or virtual panel with several rounds focused on data structures, algorithms, system design, and behavioral questions. Candidates are evaluated on problem-solving ability, coding skills, and cultural fit.","[""Data structure and algorithm in first round""]","[""Declined offer"", ""Positive experience""]",20 May 2025,2025-06-12T08:20:58.275812,Google,Software Engineer,I interviewed at Google
"The journey was seamless, engaging, and insightful. I absorbed valuable knowledge, sharpened my skills, and gained incredible experience that broadened my perspective. It was a rewarding process filled with growth and discovery.","[""Where You see Yourself in next few years""]","[""Declined offer"", ""Positive experience"", ""Average interview""]",20 May 2025,2025-06-12T08:21:51.670543,Google,Software Engineer,I interviewed at Google (Bangalore Rural)
"The interview process began with an online coding assessment via HackerRank consisting of two algorithmic questions. This was followed by a virtual technical screening where I was asked to solve data structures and system design problems in a shared coding environment. I then moved on to an onsite round (done virtually) consisting of four interviews: two on data structures/algorithms, one on system design, and one behavioral. Each round was about 45 minutes long, and the interviewers were friendly and gave helpful hints when I got stuck.","[""Given an array of integers, return the indices of the two numbers that add up to a specific target.""]","[""No offer"", ""Positive experience"", ""Difficult interview""]",19 May 2025,2025-06-12T08:23:42.970646,Google,Software Engineer,"I interviewed at Google (Mountain View, CA)"
"A typical software engineer interview at Google involves multiple rigorous rounds focused on problem-solving, algorithms, and data structures. Candidates usually start with a phone screen, where they solve coding problems in a shared document. This is followed by several on-site or virtual interviews covering technical topics such as system design, coding, and sometimes behavioral assessments. Interviewers evaluate clarity of thought, coding efficiency, and problem decomposition. Google places strong emphasis on communication, so explaining your thought process clearly is crucial. Overall, the process is intellectually demanding but designed to identify candidates who excel in both technical skill and collaborative problem-solving.","[""They ask you typical leetcode questions DSA""]","[""No offer"", ""Neutral experience"", ""Average interview""]",17 May 2025,2025-06-12T08:25:34.806589,Google,Software Engineer,I interviewed at Google
"Simple leetcode style questions mostly leetcode easy or leetcode medium. Lot of importance given to analyzing the big O complexity of your solution. First round was a phone screen followed by an onsite round. Overall process was fairly quick, maybe like 2 months end of end.","[""Read and write from a circular disk""]","[""No offer"", ""Positive experience""]",16 May 2025,2025-06-12T08:26:28.234029,Google,Software Engineer,"I interviewed at Google (Mountain View, CA)"
