experience_outcome,position,company,processed_timestamp,interview_process,application_process,date,interview_questions
"[""Accepted offer"", ""Positive experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:30:04.197424,The interview process was smooth. The recruiters always made sure that the candidates time who are interviewing for them is being valued. The questions that were asked reflected how my day to day work at this organization would look like.,"I interviewed at Microsoft (New York, NY)",28 May 2025,[]
"[""No offer"", ""Positive experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:30:35.076553,"Challenging!!!! Many non-technical questions, although those were not as difficult as the programming related questions. Those are nothing like I had seen in my prep and practice sadly. Although the interviewers were very nice and I liked my experience overall.","I interviewed at Microsoft (Los Angeles, CA)",29 May 2025,"[""If you were a bird, what animal would you be""]"
"[""No offer"", ""Positive experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:31:31.383614,"I started with a recruiter call, followed by a technical phone interview where I solved coding problems in real time. After passing that, I was invited to a virtual onsite loop with four interviews covering algorithms, system design, and behavioral questions focused on collaboration and problem-solving.",I interviewed at Microsoft,26 May 2025,"[""Given a string, return the length of the longest substring without repeating characters""]"
"[""No offer"", ""Negative experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:32:28.096128,The interview was very bad. They were biased towards circuital only and did not see others knowledge. They took the interview for formality and have a trend to take only mediocre circuital students having a closed box thinking.,I interviewed at Microsoft (Bangalore Rural),26 May 2025,"[""A question on linked list and hash maps- implementation of LRU caching""]"
"[""No offer"", ""Positive experience""]",Software Engineer,Microsoft,2025-06-12T01:34:11.011900,"The interview process typically begins with an initial screening, often conducted by a recruiter, to assess general fit and go over the candidate’s background and expectations. If that goes well, it’s followed by one or more technical interviews, where candidates may solve problems, review code, or discuss past projects.",I interviewed at Microsoft,5 May 2025,"[""he asks do you like coding""]"
"[""Accepted offer"", ""Positive experience"", ""Average interview""]",Software Engineer,Microsoft,2025-06-12T01:34:37.728538,3 rounds with 2 standard DSA question based on graphs and dynamic programming and one behavioural. No system design asked as Im a fresher. The third round was with skip level manager testing my fitment to the company.,I interviewed at Microsoft (Hyderābād),2 May 2025,"[""Number of connected components in a graph""]"
"[""No offer"", ""Negative experience"", ""Easy interview""]",Software Engineer,Microsoft,2025-06-12T01:35:32.275889,,I interviewed at Microsoft,28 Apr 2025,"[""Quantos anos de experiência você tem com desenvolvimento de software?""]"
"[""No offer"", ""Positive experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:36:29.184646,The interview consisted of a system design interview and a series of LeetCode medium questions.,"I interviewed at Microsoft (Cairo, Cairo Governorate)",28 Apr 2025,"[""they gave me bunch of LeetCode medium questions""]"
"[""No offer"", ""Neutral experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:37:26.505245,The interview process consisted of an online questionnaire and a phone interview.,Online questionnaire with detailed questions and screening filters to hone selection. This was then followed by an initial interview by phone and this was conducted by HR representative who was courteous and prompt.,25 Apr 2025,"[""Why I wanted to work for Microsoft""]"
"[""Accepted offer"", ""Positive experience"", ""Difficult interview""]",Software Engineer,Microsoft,2025-06-12T01:38:22.171950,"Microsoft offers an outstanding environment for software engineers—challenging projects, supportive leadership, excellent work-life balance, and continuous growth opportunities. The culture values innovation, collaboration, and meaningful impact at global scale. Engineers are empowered to take ownership, drive change, and contribute to technologies that shape the future.",I interviewed at Microsoft,25 Apr 2025,"[""Leetcode problems so make you practice. Also, explain your reasoning behind it.""]"
