interview_experiences,metadata.url,metadata.scraped_at,metadata.source,basic_info.title,basic_info.difficulty,basic_info.accuracy,basic_info.submissions,basic_info.avg_time,content.problem,complexity.time_complexity,complexity.space_complexity,tags.company_tags,tags.topic_tags
[],https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:04:00.444192,GeeksforGeeks,Sum of XOR of all possible subsets,Medium,35.4%,1K+,Not available,"Given an array arr[], return the sum of the XOR of all elements for every possible subset of the array. Subsets with the same elements should be counted multiple times.
An array a is a subset of an array b if a can be obtained from b by deleting some (possibly zero) elements of b.
Note: The answer is guaranteed to fit within a 32-bit integer.
Examples:
Input: arr[] = [7, 2]
Output: 14
Explanation: Subsets are: [[], [7], [2], [7, 2]]
Sum of all XOR's = 7 + 2 + (7 ^ 2) = 14.
Input: arr[] = [1, 2, 3]
Output: 12
Explanation: Subsets are: [[], [1], [2], [3], [1, 2], [1, 3], [2, 3], [1, 2, 3]]
Sum of all XOR's = 1 + 2 + 3 + (1 ^ 2)  + (1 ^ 3) + (2 ^ 3) + (1 ^ 2 ^ 3) = 12.
Constraints:
1 ≤ arr.size() ≤ 30
1 ≤ arr[i] ≤ 103",O(n),O(1),"['Adobe', 'Amazon', 'Apple', 'Google']","['Bit Magic', 'Data Structures', 'Algorithms']"
"[{'title': 'Atlassian Interview Experience', 'url': 'https://www.geeksforgeeks.org/atlassian-interview-experience/', 'content_summary': ""I am sharing my experience of interviewing with Atlassian. The whole process is divided into the following sections:\nOnline Test:\nThe online test was conducted on Hackerrank. The time duration was 90 mins and there were 3 problems.\nProblem 1:\nThis was a simple problem(50 pts) but R was the only allowed programming language. That's the reason none of us was able to solve it.\nProblem 2:\nIt was a simple DP on Tree based problem(75 pts).\nGiven a tree (general graph) of n nodes with values of each node being the node number (ie: node x has value x). In each query, we will be given a node and a value of jump. So, we need to calculate the total value when we start at the given node and jump by jump amount towards the root of the tree. So, if the jump value is 3, we move from initial node to its 3rd ancestor, then 6th ancestor, 9th, and so on until u cannot jump further.\nThere were q queries(q <= 10^5) but the key point was the jump value for each query was <=10. In other words, in each jump, u cannot move beyond its 10th ancestor.\nProblem 3:\nThis was a standard problem(100 pts).\nYou are given an array where each element (arr[i]) represents the height of the tower at position i.\nFor each i, we need to calculate the nearest index j (j > i or j < i) whose height is less than current tower's height (arr[j] < arr[i]). If there exist two such towers - one to the right and one to the left - choose the one which is closest to it.\nIt can be easily solved using two stacks (one for right & other for left).\nTechnical Round 1:\nThere were two interviewers and both were really cool and amazing. I felt really comfortable coding with them.\nIt was conducted on Zoom. I used my atom editor and shared screen.\nSo the question goes as:\nWe have to decide the winner amongst the candidates in a voting process. Basically, u have been given a list of strings. Each string represents the name of a candidate. The no of times the string appears in the list gives the no of votes he has got.\nSo far very simple. Use a map (ordered or unordered) and count their occurrences. The string(name) having the highest occurrence is the winner.\nBut how do we handle if there is a tie? A tie happens when multiple candidates get the same amount of votes.\nWe discussed multiple strategies for that. One important strategy was to take the weighted value (so C1(2,2,2,1) will win over C2(2,2,1,1,1)).\nI was using multiple data structures like map, unordered_map etc. The interviewer asked me to arrange these data structures because they looked very complicated.\nThen I created a struct of each Candidate. I put candidate_name, winner (bool), vector<int> votes, totol_votes as its attributes. Finally, I created a vector<Candidate> which greatly simplified the implementation.\nThe actual thing they wanted to test was how I approach the problems. How I debug them (Very important). How to handle corner cases? How to keep things simple? All the while, expressing what u are really trying to do rather than being quiet and coding.\nhttps://www.geeksforgeeks.org/problems/winner-of-an-election-where-votes-are-represented-as-candidate-names-1587115621/1\nTechnical Round 2:\nThis round consisted of a single interviewer and was conducted on Zoom.\nIt was a code pair round on Hackerrank. It was the longest of all and was very exhaustive.\nIt can also be subdivided into multiple phases:\nPhase 1:\nDiscussion on projects. I mentioned multiple projects involving REST APIs, AWS services(AWS API Gateway, AWS Lambda, AWS CloudWatch, etc.). GraphQL, golang, MongoDB, NodeJS etc.\nIt took more than 0.5 hrs. The focus was on:\nWhat does it mean? Why u chose this over others?\nWhat are the advantages and disadvantages? What are the technical challenges u faced?\nEx: Why REST APIs? Why GraphQL when there is REST? Why go? Why AWS Lambda and not some other AWS service? etc\nPhase 2:\nIt was a problem-solving round.\nThe interviewer was not being very clear about the requirements of the problem so it took really some time to understand the problem. So, I suggest u to understand the problem by repeatedly asking clarifying questions.\nYou are given an initial string. The problem is to find the longest matching prefix for each string in a long list of strings.\nI told him about KMP algorithm and discussed different other algorithms as well. But, he was keen on knowing what DATA STRUCTURE I would use.\nFinally, I got it. We need to use a TRIE to get prefix for each string. Actually, I asked for a hint and he said that don't worry about memory, Assume we have lots of memory at our disposal. Trie immediately clicked in my mind.\nHe seemed very happy at my answer. He didn't tell me to implement Trie. (But one should be always ready for that).\nPhase 3:\nAfter the first 2 phases, he asked me about my favorite subjects.\nI answered: Algorithms, Data structures, and Operating Systems. He told me that we have already tested your algo & ds skills. Let's move to Operating systems.\nThe key point was : I am highly interested in OS and have read Silberschatz from front to back. I guess that's the reason I didn't face much difficulty in this phase.\nQuestions:\nWhich OS does u use as a CS engineer?\nLinux. Ubuntu.\nWhy Linux? Tell me about Linux.\nLinux is open-source OS. It is based on Monolithic kernel architecture and uses CFS scheduling algorithm which employs RB trees.\nMultiple follow-up questions on:\nMonolithic VS Microkernel\nExample of microkernel\nWindows vs Linux\nDifferences between Process and Thread?\nKernel space vs Userspace?\nVirtual memory?\nSwapping? How does the virtual memory map to physical memory?\nHow do processes communicate? Shared memory & message passing?\nDevice drivers?\nThe interview was scheduled for 1 hr but it went for 1hr 20 mins or more. But, it was very interesting and I loved discussing concepts with the interviewer.\nHR Round:\nThe final round was an HR round.\nI must admit that he was the coolest guy I have ever met with. He introduced himself and asked me to introduce it as well.\nHis communication skill was amazing and we had a really good 2-way conversation going along.\nQuestions:\nSummarize your Engineering journey.\nWhat is the thing you would like to change about your college?\nWhat is the biggest failure in your life? How did u overcome that? Do u regret it?\nHow do your personal values align with that of Atlassian?\nWhat role does u love to play in a team?\nQuestions I asked the interviewer:\nHow Atlassian differs from other companies?\nThe points he talked we really helpful and exciting.\nWhat are the opportunities I would have at Atlassian?\nThere are a hell lot of opportunities.\nIt was an amazing experience. The interviewer was very calm and understanding.\nThis concludes my experience with Atlassian. Hope this article helps to get an understanding of the interview process at Atlassian.\nAll the best!!\n\nComment\nMore info\nAdvertise with us\nNext Article\nAtlassian Interview Experience""}]",https://www.geeksforgeeks.org/problems/winner-of-an-election-where-votes-are-represented-as-candidate-names-1587115621--162858/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:04:12.241548,GeeksforGeeks,Winner of an election,Easy,80.95%,168+,Not available,"Given a lowercase string array arr[]. Each element in the array represents a vote cast for a candidate. Return the name of the candidate who received the maximum number of votes and the count of votes he received. In case of a tie between two or more candidates, return the lexicographically smallest name.
Note: Return an array of strings, the winning candidate name as the first element and the vote count as the second element (typecast the count to string).
Examples :
Input: arr[] = [""john"", ""johnny"", ""jackie"", ""johnny"", ""john"", ""jackie"", ""jamie"", ""jamie"", ""john"", ""johnny"", ""jamie"", ""johnny"", ""john""]
Output: [""john"", ""4""]
Explanation: ""john"" has 4 votes casted for him, but so does ""johnny"". ""john"" is lexicographically smaller, so we print ""john"" and the votes he received.
Input: n = 3
arr[] = [""andy"", ""blake"", ""clark""]
Output: [""Andy"", ""1""]
Explanation: All the candidates get 1 votes each. We print ""andy"" as it is lexicographically smaller.
Constraints:
1 <= arr.size() <= 105
1 <= arr[i].size() <= 105",O(n),O(n),"['Adobe', 'Atlassian']","['Hash', 'Strings', 'Data Structures']"
"[{'title': 'Maq Software Interview Experience Set 10 On Campus', 'url': 'https://www.geeksforgeeks.org/maq-software-interview-experience-set-10-on-campus/', 'content_summary': '1. Written Round : 1) 30 Aptitude questions(30 min). 2) 2-Coding questions(30 min). 2-a) Write an algorithm for dutch national flag problem 2-b) Write an algorithm for n-queens problem Total 40 people were selected for second round. 2.Technical Round 1 (around 1Hr 15min):- 1) What is web technology. 2) Write some Basic syntax of HTML. 3) Given 2 tables of employee containing employee_id,employee_name and department containing employee_id(foreign key), dept_id find the name of the employee who worked in maximum no. of departments. 4) Discussion about projects which I had written in resume. 5) What is inheritance, overloading and over-riding. 6) Difference between Encapsulation and abstraction. 7) What is indexing in databases. 8) What are clustered and non-clustered indexes. 9) Real life application of Data Structures. 10) Which Data structure used in printer. 11) Which Data structure used for maintaining Dictionary.(Trie) 12) What is the searching and space complexity of your Trie for maintaining Dictionary. 13) 2 simple puzzle. 14) Add 2 numbers a and b without using ?+? operator. 15) find nth Fibonacci number. (Gave O(logn) solution) 3.Technical Round 2 (around 1 Hr):- 1) How many square in (8*8) chess board. 2) Give general formula for square in (n*n) board and prove it. 3) Write code for Sudoku Game Problem and discuss time complexity of the code which was written by me. Discuss many thing about that code he said to optimise the code then i optimise some portion of code then we move on to the next question. 4) puzzle:- 2 jar one contain 4 red and other one 4 blue randomly select any jar maximize the probability of selecting red ball by rearranging the balls. Puzzel#6 http://www.crazyforcode.com/probability-puzzles-interview/ 5) Write code for calculating factorial of big number (Array). 6) Puzzel:-Given a pastry. someone eat it from one side how you divide it into 2 equal parts. 7) Egg droping Puzzel. I give solution of 2 egg 100 floor puzzle but then said to give the generalized formula for it then i solve it using DP. 4. HR+Technical Round(around 1 Hr) :- Q1-Tell me about yourself? Q2-Family background? Q3-Discussion about projects which I had written in resume. Q4-Write code for making Queue using 2 stack. Discuss about time complexity and space complexity and he said optimise the code. Q5-Write code for Water Jug problem (check condition are we able to make any given number in any of the jug or not). Q6-Puzzel:-Given a rectangle and a circle and a point lie on circle and center lie line y=x and 1 point of rectangle lie on origin. circle put into rectangle find the radius of circle. A total of 3 students were offered the job(I was one of them). 2 students were offered the intern. Thank you so much geeksforgeeks team.\nRelated Practice Problems\nThe Nth Fibonnaci\nQueue using two Stacks\nTwo water Jug problem\nAll Practice Problems for MAQ Software !\n\nComment\nMore info\nCampus Training Program\nNext Article\nMAQ Software Interview Experience | Set 10 (On-Campus)'}, {'title': 'Walmart Lab Interview Experience Set 8 Off Campus 3 Years Experience', 'url': 'https://www.geeksforgeeks.org/walmart-lab-interview-experience-set-8-off-campus-3-years-experience/', 'content_summary': 'Round 1 (Coding round): 1) Range [L, R] is given. Need to find what is the maximum repeating digit in prime numbers between L and R (both inclusive). If more number of digits is repeated max times, return whichever digit is maximum Eg: [2, 13] - maximum repeating digit is 1 among {2, 3, 5, 7, 11, 13} [2, 9] - answer 7 2) Given a number ""S"", find out how many number of ways a, b, c, d (all > 1) can exist such that a+b+c+d = S; Round 2: 1) OOPS Concepts 2) Reverse alternate nodes in linked list Eg: 1->2->3->4->5 ahould become 2->1->4->3->5 3) Iterative post order traversal of binary tree 4) Queue implementation using stacks Round 3 (Java): 1) Arraylist, Linkedlist - when to use what 2) Hashmap, Hashtable, concurrent hash map 3) Hashcode, Equals, Hashmap implementation 4) Serializable interface 5) AbstractClass Vs Interface 6) Multi threading, Difference between extends thread, implements runnable 7) Callable interface, Executor framework 8) Collections sorting, comparable interface 9) Best thing I have done so far what I proud of Round 4: 1) Given NxN matrix, (X,Y) position. Find how many ways You can reach from (X,Y) to (N,N). You are allowed to traverse in 2 directions - Right, Down 2) Find loop in linked list. Find starting node of loop 3) Binary tree zigzag traversal 4) Given list of stock prices. You are allowed to buy and sell only once. a) Find the maximum gain you can get b) Find the maximum loss you can get 5) Binary tree is height balanced or not. (Every node in tree should be height balanced) 6) Implement String trim algorithm 7) Write a multi-threaded program - launch 10 threads and exit from main thread after all those threads completed Round 5 (Manager): 1) Given a number in form of array, maximize the number w.r.t allowed number of swaps (can swap only adjacent elements) - maximize(int[] data, int numSwaps) Eg: 1265 is number - if 1 swap allowed - maximum number we can get out of it is 2165 1265 is number - if 3 swaps allowed - maximum number we can get out of it is 6215 2) Questions on my projects 3) So many behavioural questions Round 6 (HR): Why do you want to change? What You are expecting? and some other HR questions.\nAll Practice Problems for Walmart !\nRelated Practice Problems\nCount all possible paths from top left to bottom right\nCheck for Balanced Tree\nStock buy and sell\nLargest number in K swaps\nDetect Loop in linked list\nQueue using two Stacks\nFind the highest occurring digit in prime numbers in a range\nFind the highest occurring digit in prime numbers in a range\n\nComment\nMore info\nCampus Training Program\nNext Article\nWalmart Lab Interview Experience | Set 8 (Off-Campus 3 Years Experience)'}, {'title': 'Makemytrip Interview Experience Set 9 Off Campus For Sr Android Developer', 'url': 'https://www.geeksforgeeks.org/makemytrip-interview-experience-set-9-off-campus-for-sr-android-developer/', 'content_summary': ""First round (Written) : 1. 4 Android questions: a) What's Recyclerview? Describe all components of Recyclerview with all callbacks and the benefits of Recyclerview. b) Difference between thread, async task and service (in tabular format). c) Callbacks invoked during addition of a fragment to back stack and while popping back from back stack. d) Scenario in which only onDestroy is called for an activity without onPause() and onStop() 2. Describe a scenario in which deadlock occurs and a solution to overcome it. 3. Given an array, find the maximum difference between two array elements A[m] and A[n], such that n>m. 4. The relation between group of friends is transitive. So if student A is friends with student B, and B is friends with C, A becomes friends with C. They form a circle of friends. Given a matrix N*N and N students, each matrix entry indicating 'Y' or 'N' if they're friends or if they're not friends. We need to determine the number of circles. Eg - 6 students, A,B,C,D,E,F. A is friends with B, B with C. D is friends with E. F is friends with none. Output : 3 circles. F2F Round 1: Starting with Java basics : 1. Uses of final, string pool concept, serialization, synchronization (how it can be done) 2. How can you implement thread pool executor. 3. Is it possible to declare final variable in abstract class. 4. What is externalization. Android : Lots of basic questions: You need to provide more area for checking/unchecking checkbox than the default area of checkbox. How would you do it. How would you implement zoom in zoom out functionality in Android. How do you implement GCM push notifications. What things would you do in each lifecycle method of activity? What is IllegalStateException in Android? Any scenario when you encounter it and how to solve it? Advantages and disadvantages of using fragment. How would you implement swipe animation in Android. How do you detect whether keyboard is open in an Android app. And some more. But I don't exactly remember. DS: Implement queue using 2 stacks. After this, the interviewer seemed satisfied with my responses. F2F Round 2 : Android design questions: 1. You have a textview(3 lines) and a button below it. On clicking the button textview whole content should show. (Content is very large but due to 3 lines initially its not shown completely). You need to add animation while showing the full text of textview. How would you design this. 2. Some question related to showing images (for adult and child, like in flight booking system, we have 2 buttons for adding and removing adults/child). When there is 1 adult and 1 child, it should show as AC where A and C are icons for adult and child. On adding 1 more adult, it should show as AAC instead of ACA. How would you design such a system. Got stuck in this round, and was rejected.\nAll Practice Problems for MakeMyTrip !\nRelated Practice Problems\nMaximum Difference\n\nComment\nMore info\nCampus Training Program\nNext Article\nMakeMyTrip Interview Experience | Set 9 (Off-Campus for Sr. Android developer))""}, {'title': 'Adobe Interview Experience Set 48 Campus', 'url': 'https://www.geeksforgeeks.org/adobe-interview-experience-set-48-campus/', 'content_summary': ""Coding Round:\nA variation of Knapsack\nEasy string manipulation problem\nA brute-force based string matching problem\nTechnical Round 1:\nFinding the length of a Linked-List with a cycle.\nDifference between a stack and a heap with respect to Virtual Memory\nGiven a cube in 3D space with integer dimensions, print all the lattice points on the surface of the cube.\nTechnical Round 2:\nPrint Pyramid of 1's with given height.\nAllocate 2D arrays in C with both dimensions accepted as input.\nCan C programs without main() function exist? (Object Files, Shared and Static Libraries, and how to create them using GCC)\nWhat is a graph traversal?\nPrint all nodes with shortest distance k from a given root node in a graph.\nHow does Breadth-first Search work?\nTechnical Round 3:\nCreate a queue from a 2 stacks\nPrint Fibonacci sequence in order using only recursion and no extra space.\nCreate a function to match a simple regex.\nHR Round:\nWhy want to join Adobe?\nWhat is the team preference?\nWhat are your shortcomings?\nGiven a table of data, where each row determines a metric, convert it to a single column of data where the new data item indicates the metric with reasonable accuracy (Principal Component Analysis)\nHaving a research background, why want to join a software company?\nDetails about college events\nIf you don't like the team you are assigned to, how will you tackle this?\n\nComment\nMore info\nCampus Training Program\nNext Article\nAdobe Interview Experience | Set 48 (On-Campus)""}]",https://www.geeksforgeeks.org/problems/queue-using-two-stacks--115418/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:04:31.529278,GeeksforGeeks,Queue using two Stacks,Easy,68.68%,670+,Not available,"Implement a Queue using 2 stacks s1 and s2.
A Query q is of 2 Types
(i) 1 x (a query of this type means  pushing 'x' into the queue)
(ii) 2   (a query of this type means to pop an element from the queue and print the popped element)
Note: If there is no element return -1 as the answer while popping.
Examples:
Input: queries = [[1, 2],[1, 3],[2],[1, 4],[2]]
Output: 2 3
Explanation:
1 2 the queue will be {2}
1 3 the queue will be {2 3}
2   poped element will be 2 the queue will be {3}
1 4 the queue will be {3 4}
2   poped element will be 3.
Input: queries = [[1, 2],[2],[2],[1, 4]]
Output: 2 -1
Explanation:
1 2 the queue will be {2}
2   poped element will be 2 and
then the queue will be empty
2   the queue is empty and hence -1
1 4 the queue will be {4}.
Constraints:
1 <=queries.size() <= 100
1 <= x <= 100",O(n),O(n),"['Flipkart', 'Morgan Stanley', 'Accolite', 'Amazon', 'Microsoft', 'D-E-Shaw', 'Hike', 'MakeMyTrip', 'Oracle', 'Walmart', 'Goldman Sachs', 'MAQ Software', 'Adobe', 'InfoEdge', 'InMobi']","['Stack', 'Queue', 'STL', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/bits-counting/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:01.131434,GeeksforGeeks,Bits Counting,Medium,77.98%,1K+,Not available,"Given an integer n, return an array ans of size n + 1, where each element i (0 ≤ i ≤ n) represents the count of 1s in the binary form of i.
Examples :
Input: n = 2
Output: [0, 1, 1]
Explanation:
0 --> 0
1 --> 1
2 --> 10
Input: n = 5
Output: [0, 1, 1, 2, 1, 2]
Explanation:
0 --> 0
1 --> 1
2 --> 10
3 --> 11
4 --> 100
5 --> 101
Constraints:
0 ≤ n ≤ 105",O(n),O(n),"['Bloomberg', 'Facebook', 'Adobe', 'Google', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'Nvidia', 'Uber']","['Bit Magic', 'Dynamic Programming', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/inorder-traversal/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:12.338589,GeeksforGeeks,Inorder Traversal,Easy,67.15%,188K+,15m,"Given a Binary Tree, your task is to return its In-Order Traversal.
An inorder traversal first visits the left child (including its entire subtree), then visits the node, and finally visits the right child (including its entire subtree).
Follow Up: Try solving this with O(1) auxiliary space.
Examples:
Input: root[] = [1, 2, 3, 4, 5]
Output: [4, 2, 5, 1, 3]
Explanation: The in-order traversal of the given binary tree is [4, 2, 5, 1, 3].
Input: root[] = [8, 1, 5, N, 7, 10, 6, N, 10, 6]
Output: [1, 7, 10, 8, 6, 10, 5, 6]
Explanation: The in-order traversal of the given binary tree is [1, 7, 10, 8, 6, 10, 5, 6].
Constraints:
1 <= number of nodes <= 105
0 <= node->data <= 105",O(n),O(1),"['Amazon', 'Snapdeal', 'Adobe']","['Tree', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/reverse-an-array/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:23.289533,GeeksforGeeks,Reverse an Array,Easy,55.32%,189K+,5m,"You are given an array of integers arr[]. Your task is to reverse the given array.
Note: Modify the array in place.
Examples:
Input: arr = [1, 4, 3, 2, 6, 5]
Output: [5, 6, 2, 3, 4, 1]
Explanation: The elements of the array are 1 4 3 2 6 5. After reversing the array, the first element goes to the last position, the second element goes to the second last position and so on. Hence, the answer is 5 6 2 3 4 1.
Input: arr = [4, 5, 2]
Output: [2, 5, 4]
Explanation: The elements of the array are 4 5 2. The reversed array will be 2 5 4.
Input: arr = [1]
Output: [1]
Explanation: The array has only single element, hence the reversed array is same as the original.
Constraints:
1<=arr.size()<=105
0<=arr[i]<=105",O(n),O(1),"['Bloomberg', 'Facebook', 'TCS', 'Adobe', 'Google', 'Infosys', 'Capgemini', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'PayPal', 'Uber']","['Arrays', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/buy-stock-2/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:34.453049,GeeksforGeeks,Stock Buy and Sell – Max one Transaction Allowed,Easy,49.33%,92K+,10m,"Given an array prices[] of length n, representing the prices of the stocks on different days. The task is to find the maximum profit possible by buying and selling the stocks on different days when at most one transaction is allowed. Here one transaction means 1 buy + 1 Sell. If it is not possible to make a profit then return 0.
Note: Stock must be bought before being sold.
Examples:
Input: prices[] = [7, 10, 1, 3, 6, 9, 2]
Output: 8
Explanation: You can buy the stock on day 2 at price = 1 and sell it on day 5 at price = 9. Hence, the profit is 8.
Input: prices[] = [7, 6, 4, 3, 1]
Output: 0
Explanation: Here the prices are in decreasing order, hence if we buy any day then we cannot sell it at a greater price. Hence, the answer is 0.
Input: prices[] = [1, 3, 6, 9, 11]
Output: 10
Explanation: Since the array is sorted in increasing order, we can make maximum profit by buying at price[0] and selling at price[n-1].
Constraint:
1 <= prices.size()<= 105
0 <= prices[i] <=104",O(n),O(1),"['Bloomberg', 'Facebook', 'Intel', 'Infosys', 'Zoho', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Yahoo', 'PayPal', 'Nvidia', 'Oracle', 'Visa', 'Walmart', 'Goldman Sachs', 'TCS', 'Adobe', 'Google', 'IBM', 'Accenture', 'Apple', 'Uber']","['Greedy', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:45.534384,GeeksforGeeks,Remove Duplicates from a Sorted Linked List,Easy,49.37%,313K+,20m,"Given a singly linked list. The task is to remove duplicates (nodes with duplicate values) from the given list (if it exists).
Note: Try not to use extra space. The nodes are arranged in a sorted way.
Examples:
Input:
LinkedList: 2->2->4->5
Output: 2 -> 4 -> 5
Explanation: In the given linked list 2 -> 2 -> 4 -> 5, only 2 occurs more than 1 time. So we need to remove it once.
Input:
LinkedList: 2->2->2->2->2
Output: 2
Explanation: In the given linked list 2 -> 2 -> 2 -> 2, 2 is the only element and is repeated 5 times. So we need to remove any four 2.
Expected Time Complexity : O(n)
Expected Space Complexity: O(1)
Constraints:
1 <= Number of nodes, data of nodes <= 105",Not specified,Not specified,"['Microsoft', 'OYO Rooms', 'Oracle', 'Visa', 'Adobe', 'Myntra']","['Linked List', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/minimum-element-in-a-sorted-and-rotated-array3611/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:05:56.523808,GeeksforGeeks,Sorted and Rotated Minimum,Easy,40.57%,152K+,Not available,"A sorted array of distinct elements arr[] is rotated at some unknown point, the task is to find the minimum element in it.
Examples:
Input: arr[] = [5, 6, 1, 2, 3, 4]
Output: 1
Explanation: 1 is the minimum element in the array.
Input: arr[] = [3, 1, 2]
Output: 1
Explanation: Here 1 is the minimum element.
Input: arr[] = [4, 2, 3]
Output: 2
Explanation: Here 2 is the minimum element.
Constraints:
1 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ 109",O(log n),O(1),"['Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Snapdeal', 'Adobe', 'Times Internet']","['Searching', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/delete-a-node-in-single-linked-list/1?page=1&company=Adobe&sortBy=latest,2025-06-11T12:06:08.086533,GeeksforGeeks,Delete in a Singly Linked List,Easy,39.85%,224K+,Not available,"Given a singly linked list and an integer, x. Delete the xth node (1-based indexing) from the singly linked list.
Examples:
Input: Linked list: 1 -> 3 -> 4, x = 3
Output: 1 -> 3
Explanation: After deleting the node at the 3rd position (1-base indexing), the linked list is as 1 -> 3.
Input: Linked list: 1 -> 5 -> 2 -> 9, x = 2
Output: 1 -> 2 -> 9
Explanation: After deleting the node at 2nd position (1-based indexing), the linked list is as 1 -> 2 -> 9.
Constraints:
2 <= size of linked list <= 106
1 <= x <= size of linked list",O(n),O(1),"['Samsung', 'Adobe']","['Linked List', 'Data Structures']"
