interview_experiences,metadata.url,metadata.scraped_at,metadata.source,basic_info.title,basic_info.difficulty,basic_info.accuracy,basic_info.submissions,basic_info.avg_time,content.problem,complexity.time_complexity,complexity.space_complexity,tags.company_tags,tags.topic_tags
[],https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:33:24.826437,GeeksforGeeks,Sum of XOR of all possible subsets,Medium,35.4%,1K+,Not available,"Given an array arr[], return the sum of the XOR of all elements for every possible subset of the array. Subsets with the same elements should be counted multiple times.
An array a is a subset of an array b if a can be obtained from b by deleting some (possibly zero) elements of b.
Note: The answer is guaranteed to fit within a 32-bit integer.
Examples:
Input: arr[] = [7, 2]
Output: 14
Explanation: Subsets are: [[], [7], [2], [7, 2]]
Sum of all XOR's = 7 + 2 + (7 ^ 2) = 14.
Input: arr[] = [1, 2, 3]
Output: 12
Explanation: Subsets are: [[], [1], [2], [3], [1, 2], [1, 3], [2, 3], [1, 2, 3]]
Sum of all XOR's = 1 + 2 + 3 + (1 ^ 2)  + (1 ^ 3) + (2 ^ 3) + (1 ^ 2 ^ 3) = 12.
Constraints:
1 ≤ arr.size() ≤ 30
1 ≤ arr[i] ≤ 103",O(n),O(1),"['Adobe', 'Amazon', 'Apple', 'Google']","['Bit Magic', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/bits-counting/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:33:35.044887,GeeksforGeeks,Bits Counting,Medium,77.98%,1K+,Not available,"Given an integer n, return an array ans of size n + 1, where each element i (0 ≤ i ≤ n) represents the count of 1s in the binary form of i.
Examples :
Input: n = 2
Output: [0, 1, 1]
Explanation:
0 --> 0
1 --> 1
2 --> 10
Input: n = 5
Output: [0, 1, 1, 2, 1, 2]
Explanation:
0 --> 0
1 --> 1
2 --> 10
3 --> 11
4 --> 100
5 --> 101
Constraints:
0 ≤ n ≤ 105",O(n),O(n),"['Bloomberg', 'Facebook', 'Adobe', 'Google', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'Nvidia', 'Uber']","['Bit Magic', 'Dynamic Programming', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/k-th-missing-element3635/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:33:45.521323,GeeksforGeeks,K-th missing element,Easy,31.53%,32K+,Not available,"Given an increasing sequence arr, we need to find the K-th smallest missing element, taking the first element of the array as the starting point in the increasing sequence. If there is no k-th missing element then output -1.
Example:
Input: arr[] = [1, 3, 4, 5, 7] and k = 2
Output: 6
Explanation: k = 2, Missing numbers are 2 and 6. So 2nd missing number is 6.
Input: arr[] = [2, 3, 4, 5, 6, 8] and k = 1
Output: 7
Explanation: k = 1, the first missing number in the array is 7.
Expected Time Complexity: O(n).
Expected Auxiliary Space: O(1).
Constraints:
1 ≤  arr.size() ≤ 106
0 ≤  k, arr[i] ≤ 105",Not specified,Not specified,"['Amazon', 'Facebook', 'Apple', 'Google']","['Arrays', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/reverse-an-array/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:33:56.381265,GeeksforGeeks,Reverse an Array,Easy,55.32%,189K+,5m,"You are given an array of integers arr[]. Your task is to reverse the given array.
Note: Modify the array in place.
Examples:
Input: arr = [1, 4, 3, 2, 6, 5]
Output: [5, 6, 2, 3, 4, 1]
Explanation: The elements of the array are 1 4 3 2 6 5. After reversing the array, the first element goes to the last position, the second element goes to the second last position and so on. Hence, the answer is 5 6 2 3 4 1.
Input: arr = [4, 5, 2]
Output: [2, 5, 4]
Explanation: The elements of the array are 4 5 2. The reversed array will be 2 5 4.
Input: arr = [1]
Output: [1]
Explanation: The array has only single element, hence the reversed array is same as the original.
Constraints:
1<=arr.size()<=105
0<=arr[i]<=105",O(n),O(1),"['Bloomberg', 'Facebook', 'TCS', 'Adobe', 'Google', 'Infosys', 'Capgemini', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'PayPal', 'Uber']","['Arrays', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/buy-stock-2/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:34:07.360092,GeeksforGeeks,Stock Buy and Sell – Max one Transaction Allowed,Easy,49.33%,92K+,10m,"Given an array prices[] of length n, representing the prices of the stocks on different days. The task is to find the maximum profit possible by buying and selling the stocks on different days when at most one transaction is allowed. Here one transaction means 1 buy + 1 Sell. If it is not possible to make a profit then return 0.
Note: Stock must be bought before being sold.
Examples:
Input: prices[] = [7, 10, 1, 3, 6, 9, 2]
Output: 8
Explanation: You can buy the stock on day 2 at price = 1 and sell it on day 5 at price = 9. Hence, the profit is 8.
Input: prices[] = [7, 6, 4, 3, 1]
Output: 0
Explanation: Here the prices are in decreasing order, hence if we buy any day then we cannot sell it at a greater price. Hence, the answer is 0.
Input: prices[] = [1, 3, 6, 9, 11]
Output: 10
Explanation: Since the array is sorted in increasing order, we can make maximum profit by buying at price[0] and selling at price[n-1].
Constraint:
1 <= prices.size()<= 105
0 <= prices[i] <=104",O(n),O(1),"['Bloomberg', 'Facebook', 'Intel', 'Infosys', 'Zoho', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Yahoo', 'PayPal', 'Nvidia', 'Oracle', 'Visa', 'Walmart', 'Goldman Sachs', 'TCS', 'Adobe', 'Google', 'IBM', 'Accenture', 'Apple', 'Uber']","['Greedy', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/unique-frequencies-of-not/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:34:18.472392,GeeksforGeeks,Unique Number of Occurrences,Easy,57.68%,50K+,20m,"Given an array arr of N integers, the task is to check whether the frequency of the elements in the array is unique or not. Or in other words, there are no two distinct numbers in array with equal frequency. If all the frequency is unique then return true, else return false.
Example 1:
Input:
N = 5
arr = [1, 1, 2, 5, 5]
Output:
false
Explanation:
The array contains 2 (1’s), 1 (2’s) and 2 (5’s), since the number of frequency of 1 and 5 are the same i.e. 2 times. Therefore, this array does not satisfy the condition.
Example 2:
Input:
N = 10
arr = [2, 2, 5, 10, 1, 2, 10, 5, 10, 2]
Output:
true
Explanation:
Number of 1’s -> 1
Number of 2’s -> 4
Number of 5’s -> 2
Number of 10’s -> 3.
Since, the number of occurrences of elements present in the array is unique. Therefore, this array satisfy the condition.
Your task:
You don't need to read input or print anything. Your task is to complete the function isFrequencyUnique() which take integer N and array arr of size N as arguments, and returns a boolean.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N)
Constraints:
1 <= N <=105
-109 <= arr[i] <= 109",Not specified,Not specified,"['PayPal', 'Bloomberg', 'Adobe', 'Google', 'Amazon', 'Apple']","['set', 'Sorting', 'Map']"
[],https://www.geeksforgeeks.org/problems/largest-divisible-subset--170643/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:34:29.474310,GeeksforGeeks,Largest Divisible Subset,Medium,44.8%,8K+,20m,"Given a set of distinct positive integers nums, return the largest subset answer such that every pair (answer[i], answer[j]) of elements in this subset satisfies:
answer[i] % answer[j] == 0, or
answer[j] % answer[i] == 0
If there are multiple subsets of the largest size, return the lexicographically greatest array after sorting it in ascending order.
Examples:
Input: arr[] = [1, 2, 3, 6]
Output: [1, 3, 6]
Explanation: The largest divisible subset can be either [1, 2, 6] or [1, 3, 6], both having a length of 3. However, [1, 3, 6] is lexicographically greater than [1, 2, 6], so it is the correct output.
Input: arr[] = [1, 2, 4, 8]
Output: [1, 2, 4, 8]
Explanation: The largest divisible subset is [1, 2, 4, 8], where each element divides the next one. This subset is already the lexicographically greatest.
Input: arr[] = [3, 5, 10, 20, 21]
Output: [5, 10, 20]
Explanation: The largest divisible subset is [5, 10, 20], where each element is divisible by the previous one. Other valid subsets like [3] or [21] are smaller in size.
Constraint:
1 ≤ arr.size() ≤ 103
1  ≤ arr[i] ≤ 109",O(n^2),O(n),"['Bloomberg', 'Facebook', 'Adobe', 'Google', 'Amazon', 'Apple', 'Microsoft', 'Yahoo']","['Dynamic Programming', 'Sorting', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/prerequisite-tasks/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:34:40.532854,GeeksforGeeks,Prerequisite Tasks,Medium,37.81%,78K+,25m,"There are a total of N tasks, labeled from 0 to N-1. Some tasks may have prerequisites, for example to do task 0 you have to first complete task 1, which is expressed as a pair: [0, 1]
Given the total number of tasks N and a list of P prerequisite pairs, find if it is possible to finish all tasks.
Examples:
Input: N = 4, P = 3, prerequisites = [[1,0],[2,1],[3,2]]
Output: Yes
Explanation: To do task 1 you should have completed task 0, and to do task 2 you should have finished task 1, and to do task 3 you should have finished task 2. So it is possible.
Input: N = 2, P = 2, prerequisites = [[1,0],[0,1]]
Output: No
Explanation: To do task 1 you should have completed task 0, and to do task 0 you should have finished task 1. So it is impossible.
Constraints:
1 ≤ N ≤ 104
1 ≤ P ≤ 105",O(N + P),O(N + P),"['Amazon', 'Microsoft', 'Google', 'Facebook', 'Twitter', 'Apple']","['Graph', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/word-search/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:34:51.240677,GeeksforGeeks,Word Search,Medium,32.69%,76K+,20m,"You are given a two-dimensional mat[][] of size n*m containing English alphabets and a string word. Check if the word exists on the mat. The word can be constructed by using letters from adjacent cells, either horizontally or vertically. The same cell cannot be used more than once.
Examples :
Input: mat[][] = [['T', 'E', 'E'], ['S', 'G', 'K'], ['T', 'E', 'L']], word = ""GEEK""
Output: true
Explanation:
The letter cells which are used to construct the ""GEEK"" are colored.
Input: mat[][] = [['T', 'E', 'U'], ['S', 'G', 'K'], ['T', 'E', 'L']], word = ""GEEK""
Output: false
Explanation:
It is impossible to construct the string word from the mat using each cell only once.
Input: mat[][] = [['A', 'B', 'A'], ['B', 'A', 'B']], word = ""AB""
Output: true
Explanation:
There are multiple ways to construct the word ""AB"".
Constraints:
1 ≤ n, m ≤ 6
1 ≤ L ≤ 15
mat and word consists of only lowercase and uppercase English letters.",O(n * m * 3^L),O(n * m),"['Amazon', 'Microsoft', 'Intuit', 'Apple']","['Recursion', 'DFS', 'Graph', 'Backtracking', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/three-sum-closest/1?page=1&company=Apple&sortBy=latest,2025-06-11T12:35:02.103634,GeeksforGeeks,Closest Three Sum,Medium,17.65%,83K+,30m,"Given an array, arr of integers, and another number target, find three integers in the array such that their sum is closest to the target. Return the sum of the three integers.
Note: If there are multiple solutions, return the maximum one.
Examples :
Input: arr[] = [-7, 9, 8, 3, 1, 1], target = 2
Output: 2
Explanation: There is only one triplet present in the array where elements are -7,8,1 whose sum is 2.
Input: arr[] = [5, 2, 7, 5], target = 13
Output: 14
Explanation: There is one triplet with sum 12 and other with sum 14 in the array. Triplet elements are 5, 2, 5 and 2, 7, 5 respectively. Since abs(13-12) ==abs(13-14) maximum triplet sum will be preferred i.e 14.
Expected Time Complexity: O(n2)
Expected Auxiliary Space: O(1)
Constraints:
3 ≤ arr.size() ≤ 103
-105 ≤ arr[i] ≤ 105
1 ≤ target ≤ 105",Not specified,Not specified,"['Amazon', 'Microsoft', 'Google', 'Apple']","['Arrays', 'Hash', 'Data Structures', 'two-pointer-algorithm']"
